nu,lam,sig,multi_cst,inc_sig_factor,StepTol,OptTol
0.5,0,10,2.5,2,1.00E-03,1.00E-03
0.525,0,10,2.5,2,1.00E-03,1.00E-03
0.55,0,10,2.5,2,1.00E-03,1.00E-03
0.575,0,10,2.5,2,1.00E-03,1.00E-03
